num_rows,num_cols,batch_size,max_concurrent_reqs,tot_time,avg_time,avg_ram,std_time,std_ram,alert_throughput,batch_throughput
45544,7,100,16,580.3997676372528,137.3294956140353,358.2735745614035,23.39531058412034,7.657642634055988,78.47005209082853,0.7856653731208899
500,7,100,16,23.200295448303223,22.103999999999996,331.29799999999994,0.3471022903986657,0.1331164903383642,21.551449683653406,0.21551449683653404
10,7,100,16,1.25,1.25,331.65,,,8.0,0.8
